8800-ROESELARE,0.117737,0.24001,0.354351,0.0667159,-0.300904,-0.204485,0.241842,0.138046,-0.0338473,-0.0767919,-0.629477,-0.0581999,-0.272963,0.266457,0.190885
9920-LOVENDEGEM,0.43866,0.0442358,0.343003,-0.184887,0.12701,-0.370683,-0.0741001,0.145402,-0.0788645,-0.603799,-0.272264,0.125204,0.0768137,-0.0351839,0.0766931
3660-OPGLABBEEK,-0.19491,-0.111792,0.00287732,0.222667,0.0221103,-0.417423,0.077657,0.213461,-0.0477913,-0.0960593,-0.102116,-0.0714591,-0.663662,-0.0884052,0.445296
2560-KESSEL,-0.00240976,0.0936099,-0.163234,-0.376214,-0.400192,0.149913,-0.318761,0.502554,-0.0884725,-0.3052,-0.271711,0.212796,-0.191376,-0.134346,-0.107217
1755-GOOIK,0.371524,0.125672,-0.0377618,-0.514418,-0.299913,-0.227988,-0.132838,0.157645,-0.315518,0.140806,0.0848718,-0.367819,-0.0794616,0.120636,0.336096
9200-APPELS,0.404233,-0.11907,0.312726,-0.104513,-0.263831,-0.0569219,0.247166,-0.0186535,-0.339091,0.0741775,0.249912,0.326229,0.0295321,-0.146457,0.517419
3020-WINKSELE,0.0452774,-0.0682646,0.0239705,-0.0275655,-0.0694522,-0.0837356,0.027744,0.76251,0.271909,-0.260539,-0.00889322,0.103088,0.0602027,0.0404276,0.490051
Regio Kalmthout - Schoten - Zoersel,0.114348,-0.300065,-0.131798,-0.431235,0.13015,0.219052,0.0528468,0.134658,-0.341903,-0.240808,-0.305812,0.0732609,-0.558045,0.118363,-0.0922156
2030-ANTWERPEN,0.349037,-0.23731,0.0502659,-0.235221,0.0191787,0.360792,0.116203,0.202085,-0.0795091,-0.0387873,-0.197698,0.127315,-0.636588,-0.212571,-0.256069
1742-SINT-KATHERINA-LOMBEEK,0.412119,-0.067893,0.0676662,-0.484143,-0.171327,-0.166443,0.247395,0.0326305,-0.25828,0.0980697,0.262811,-0.185943,-0.0396323,0.304147,0.43955
Regio Genk,-0.188507,-0.0301036,-0.00675291,0.0933039,0.0421792,-0.402227,-0.0372662,0.270143,-0.117565,-0.134389,0.0904188,-0.153091,-0.651832,-0.393346,0.271616
1570-VOLLEZELE,0.275101,0.00438258,-0.206859,-0.585572,-0.220168,-0.33542,-0.0303915,-0.0407816,-0.307388,-0.0496457,-0.0396437,-0.399561,-0.153247,0.0187456,0.305022
8340-SIJSELE,0.379448,-0.0352163,0.393809,0.102583,0.331989,-0.32487,0.0852259,0.403699,-0.111986,-0.24687,-0.353678,-0.163292,-0.171937,0.207744,-0.0722441
3550-HEUSDEN-ZOLDER,-0.277758,0.138387,0.110921,0.161477,-0.0475603,-0.403538,0.0494797,0.416426,-0.273651,-0.107794,0.303968,0.0883686,-0.488283,-0.284751,0.134702
8531-HULSTE,0.0572527,0.292805,0.264724,0.0588951,-0.567095,-0.0775095,0.367952,-0.0073136,0.204196,-0.287523,-0.140282,-0.345877,-0.329038,0.0161038,-0.0468342
8660-ADINKERKE,0.328093,0.393581,0.539114,-0.0546748,-0.0286508,0.0120069,0.192166,0.00250223,-0.294436,0.393395,-0.0289406,0.039008,-0.393568,0.0426412,-0.0734253
3290-SCHAFFEN,-0.385798,0.165362,0.39961,-0.0888497,-0.251877,-0.236596,-0.191095,0.53487,-0.0725881,-0.207506,0.361564,0.145475,-0.09091,-0.0674869,-0.0342164
8930-LAUWE,-0.0349224,0.216501,0.553401,0.032216,-0.291131,0.174633,0.484415,0.0933313,0.329482,-0.0200141,-0.199189,-0.12987,-0.280275,-0.184974,0.08789
9910-KNESSELARE,0.318529,-0.146018,0.174023,0.0527749,0.254246,-0.437958,-0.0014441,0.192201,-0.0743141,-0.585046,-0.281646,-0.0779829,-0.178595,0.109853,-0.271268
Regio Halle,0.289356,0.30229,-0.0348766,-0.536485,-0.407099,-0.264571,-0.232469,0.150152,-0.0633146,0.0853024,0.165324,-0.237488,-0.154143,0.0890978,0.311175
